,episode,actions,rewards
0,0,20,20.0
1,1,36,36.0
2,2,11,11.0
3,3,12,12.0
4,4,13,13.0
5,5,14,14.0
6,6,19,19.0
7,7,37,37.0
8,8,19,19.0
9,9,14,14.0
10,10,11,11.0
11,11,21,21.0
12,12,15,15.0
13,13,24,24.0
14,14,23,23.0
15,15,12,12.0
16,16,12,12.0
17,17,20,20.0
18,18,16,16.0
19,19,16,16.0
20,20,10,10.0
21,21,36,36.0
22,22,15,15.0
23,23,27,27.0
24,24,9,9.0
25,25,27,27.0
26,26,24,24.0
27,27,16,16.0
28,28,18,18.0
29,29,13,13.0
30,30,27,27.0
31,31,14,14.0
32,32,35,35.0
33,33,18,18.0
34,34,26,26.0
35,35,43,43.0
36,36,18,18.0
37,37,85,85.0
38,38,16,16.0
39,39,19,19.0
40,40,35,35.0
41,41,16,16.0
42,42,20,20.0
43,43,14,14.0
44,44,15,15.0
45,45,16,16.0
46,46,23,23.0
47,47,40,40.0
48,48,20,20.0
49,49,24,24.0
50,50,13,13.0
51,51,12,12.0
52,52,11,11.0
53,53,26,26.0
54,54,29,29.0
55,55,52,52.0
56,56,17,17.0
57,57,22,22.0
58,58,26,26.0
59,59,20,20.0
60,60,33,33.0
61,61,13,13.0
62,62,12,12.0
63,63,23,23.0
64,64,25,25.0
65,65,15,15.0
66,66,20,20.0
67,67,22,22.0
68,68,24,24.0
69,69,12,12.0
70,70,24,24.0
71,71,26,26.0
72,72,39,39.0
73,73,11,11.0
74,74,10,10.0
75,75,34,34.0
76,76,25,25.0
77,77,17,17.0
78,78,16,16.0
79,79,24,24.0
80,80,24,24.0
81,81,13,13.0
82,82,51,51.0
83,83,13,13.0
84,84,40,40.0
85,85,29,29.0
86,86,18,18.0
87,87,18,18.0
88,88,41,41.0
89,89,23,23.0
90,90,48,48.0
91,91,67,67.0
92,92,15,15.0
93,93,13,13.0
94,94,26,26.0
95,95,11,11.0
96,96,48,48.0
97,97,22,22.0
98,98,68,68.0
99,99,15,15.0
100,100,32,32.0
101,101,9,9.0
102,102,14,14.0
103,103,34,34.0
104,104,40,40.0
105,105,12,12.0
106,106,25,25.0
107,107,18,18.0
108,108,41,41.0
109,109,19,19.0
110,110,34,34.0
111,111,11,11.0
112,112,23,23.0
113,113,29,29.0
114,114,39,39.0
115,115,30,30.0
116,116,56,56.0
117,117,18,18.0
118,118,33,33.0
119,119,18,18.0
120,120,12,12.0
121,121,51,51.0
122,122,15,15.0
123,123,21,21.0
124,124,43,43.0
125,125,29,29.0
126,126,34,34.0
127,127,22,22.0
128,128,32,32.0
129,129,16,16.0
130,130,20,20.0
131,131,34,34.0
132,132,49,49.0
133,133,33,33.0
134,134,34,34.0
135,135,18,18.0
136,136,20,20.0
